mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
42	42	127/2	127/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	212													
42	42	64	64	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	213													
43	43	129/2	129/2	0.0	0	0	Spanner	3/8	1	1	0																
43	43	129/2	129/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	214													
43	43	129/2	129/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	215		articMarcatoAbove											
43	43	65	65	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	216													
43	43	131/2	131/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	217													
44	44	66	66	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	218		articMarcatoAbove											
44	44	133/2	133/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	219													
44	44	67	67	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	220													
45	45	68	68	0.0	1/8	1/8	Dynamic	3/8	1	1	0				mf												
45	45	68	68	0.0	1/8	1/8	Spanner	3/8	1	1	0														1		
45	45	135/2	135/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	221		articMarcatoAbove											
45	45	68	68	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	222													
45	45	137/2	137/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	223													
46	46	69	69	0.0	0	0	StaffText	3/8	1	1	0						<i>poco a poco accel.</i>								1		
46	46	139/2	139/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	224											1		
46	46	70	70	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	225											1		
46	46	69	69	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	226													
47	47	71	71	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	227											1		
47	47	143/2	143/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	228											1		
47	47	141/2	141/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	229													
48	48	72	72	0.0	0	0	Spanner	3/8	1	1	0																
48	48	145/2	145/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	230													
48	48	73	73	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	231													
48	48	72	72	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	232													
49	49	74	74	0.0	1/8	1/8	Spanner	3/8	1	1	0														2		
49	49	74	74	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	233											2		
49	49	149/2	149/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	234											2		
49	49	147/2	147/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	235		articAccentAbove											
50	50	151/2	151/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	236											2		
50	50	76	76	0.0	1/4	1/4	Spanner	3/8	1	1	0																
50	50	76	76	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	237													
50	50	75	75	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	238													
51	51	77	77	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	239													
51	51	155/2	155/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	240													
51	51	153/2	153/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	241													
52	52	157/2	157/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	242													
52	52	79	79	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	243													
52	52	78	78	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	244													
53	53	80	80	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	245													
53	53	161/2	161/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	246													
53	53	159/2	159/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	247		articAccentBelow											
54	54	163/2	163/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	248													
54	54	82	82	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	249													
